CFSR,Station
0.06513408,0
0.00558297,0
0.109947314,4.4
0.063102574,0
0.961545403,10
0.343259586,0
0.646471001,0
0.043484162,0
0.264427422,1
0.407201188,0
0.00186099,0
4.953721212,0
0,10.8
6.086737266,10.6
0.031897374,0
5.305644751,0
0.266695263,0
0.012096443,0
8.528831022,1
0.76808723,1
0.003721984,2.1
0.49913552,7.7
0,0
0,0.1
0.012375595,1.5
1.593444932,3.1
0.118893301,0
0,0.5
0.433629151,6.1
0.196594344,0
0.050953954,0
0.055736698,0
0.031506567,1.6
0.01302693,0
0.304797965,12.9
0.74128842,0.3
0.616015896,2.5
